OO,LAX,1227,1312,0
EV,EWR,627,832,0
DL,ATL,1218,1350,0
EV,ATL,1611,1724,0
OO,FAR,1529,1634,0
US,DCA,1227,1412,0
AA,OKC,613,1028,0
WN,MCI,1846,2212,0
WN,DEN,1755,2314,0
DL,MSP,1906,2252,0
WN,BUR,700,805,0
MQ,ORD,1716,1803,0
B6,SWF,624,935,0
B6,BOS,1340,1606,0
B6,JFK,2032,2345,1
WN,HOU,1708,2025,1
EV,CAE,606,727,0
AA,MIA,1740,2010,0
WN,ROC,1907,2019,0
EV,EWR,948,1156,0
WN,OAK,954,1545,0
EV,CHS,553,701,0
DL,ATL,1415,1541,0
MQ,SYR,1846,2018,1
EV,ELP,1302,1543,0
WN,TUS,1836,2025,1
US,CLT,832,1110,1
EV,EWR,1734,1930,1
EV,ACY,558,822,0
AA,TPA,1210,1350,0
UA,EWR,550,848,0
EV,ABE,1317,1605,0
WN,LAS,2006,2100,1
DL,DTW,1736,1925,1
WN,FLL,1329,1617,0
HA,HNL,516,553,0
DL,MCO,829,1044,0
AA,ORD,1809,2112,0
OO,SNA,649,953,0
EV,IAH,1748,2126,1
FL,ATL,1722,1837,0
EV,MKE,705,1006,0
WN,MCO,730,821,0
WN,AUS,1841,1935,1
AS,ONT,1813,2103,0
VX,FLL,913,1158,0
WN,STL,2008,2109,1
9E,OMA,1559,1703,1
WN,OAK,603,1149,0
OO,DEN,2140,21,0
OO,IDA,633,749,0
AA,SMF,556,1121,0
DL,BOS,753,906,0
AA,STL,1846,2117,0
EV,MSY,1617,2021,1
EV,DTW,1730,1734,0
